id,year,title,Runtime,Rating,Directors,Writers,Production companies,Genres
12405,2000,Holy Smoke,,,,,,
12406,2000,Red Shoe Diaries: Strip Poker,,,,,,
12407,2001,NBA Now! Showmen of Today,,,,,,
12408,1994,The Neverending Story 3: Escape From Fantasia,,,,,,
12409,2005,Today You Die,90,4.3,Don E. FauntLeRoy,Danny Lerner-Kevin Moore-Les Weldon,Millennium Films-Emmett/Furla/Oasis Films-Equity Pictures Medienfonds GmbH & Co. KG II-Millennium Films-Kill Master Productions Inc.-Luminocity Productions,Action-Crime-Thriller
12410,2000,Kya Kehna,155,5.9,Kundan Shah,Honey Irani,,Drama-Romance
12411,2003,My Architect: A Son's Journey,,,,,,
12412,1989,New York Stories,124,6.4,Woody Allen-Francis Ford Coppola-Martin Scorsese,Richard Price-Woody Allen-Francis Ford Coppola,Touchstone Pictures-Jack Rollins & Charles H. Joffe Productions,Comedy-Drama-Romance
12413,1993,The Wonderful,98,5.9,Anthony Minghella,Amy Schor Ferris-Vicki Polon,Night Life Inc.-The Samuel Goldwyn Company,Comedy-Romance
12414,1998,Under the Sun,130,6.8,Colin Nutley,H.E. Bates-Johanna Hald-David Neal,Film i Väst-Nordisk Film- & TV-Fond-Svensk Filmindustri-Svenska Filminstitutet-Sveriges Television-Sweetwater,Drama-Romance
12415,1989,Too Beautiful For You,91,6.7,Bertrand Blier,Bertrand Blier,Ciné Valse-DD Productions-Orly Films-Societé d'Exploitation et de Distribution de Films (SEDIF)-TF1 Films Production,Comedy-Drama-Romance
12416,1942,Sherlock Holmes and the Voice of Terror,65,6.8,John Rawlins,Lynn Riggs-John Bright-Arthur Conan Doyle,Universal Pictures,Crime-Film-Noir-Mystery-Thriller
12417,2000,Samurai X,,,,,,
12418,2005,The Triangle,240,6.6,Craig R. Baxley,Dean Devlin-Rockne S. O'Bannon-Bryan Singer,Bad Hat Harry Productions-British Broadcasting Corporation (BBC)-Electric Entertainment-Uncharted Territory GmbH-Uncharted Territory,Action-Adventure-Drama-Mystery-Sci-Fi-Thriller
12419,2002,An Amazing Couple: Trilogy 2,,,,,,
12420,1993,Khalnayak,190,7.2,Subhash Ghai,Subhash Ghai-Ram Kelkar-Kamlesh Pandey,Mukta Arts,Action-Adventure-Crime-Drama-Thriller
12421,2001,The Crusades,,,,,,
12422,2004,The Murder Room,180,7.3,Diarmuid Lawrence,P.D. James-Robert Jones,BBC Drama Group-WGBH,Crime-Drama-Mystery
12423,1993,Dr. Quinn,60,6.7,,Beth Sullivan-Sara Davidson-Carl Binder,CBS-Sullivan Company,Drama-Family-Western
12424,1994,In Search of Dr. Seuss,90,7.2,Vincent Paterson,Keith R. Clarke-Dr. Seuss,Turner Pictures (I)-Point Blank Productions,Animation-Biography-Comedy-Family
12425,2004,The Apprentice: Season 1,,,,,,
12426,2000,Cinderelmo: Sesame Street,,,,,,
12427,1987,The Quick and the Dead,91,7.1,Robert Day,Louis L'Amour-James Lee Barrett,HBO Pictures-Home Box Office-Joseph Cates Company,Western
12428,2002,War Letters: American Experience,,,,,,
12429,1976,The Message,177,8.2,Moustapha Akkad,H.A.L. Craig-Tewfik El-Hakim-A.B. Jawdat El-Sahhar,Filmco International Productions,Adventure-Biography-Drama-History-War
12430,2000,The Kid,104,6.1,Jon Turteltaub,Audrey Wells,Chester Films Inc.-Junction-Walt Disney Pictures,Comedy-Family-Fantasy
12431,1999,Not of This World,100,7.3,Giuseppe Piccioni,Giuseppe Piccioni-Gualtiero Rosella-Lucia Maria Zei,Lumière & Company-Ministero per i Beni e le Attività Culturali (MiBAC)-RAI Radiotelevisione Italiana,Drama
12432,1970,The Owl and the Pussycat,95,6.7,Herbert Ross,Bill Manhoff-Buck Henry,Rastar Pictures-Tom Ward Enterprises,Comedy
12433,1961,Mr. Sardonicus,89,6.7,William Castle,Ray Russell-Ray Russell,William Castle Productions,Drama-Horror-Mystery
12434,1998,3 Ninjas: High Noon on Mega Mountain,93,2.9,Sean McNamara,Sean McNamara-Jeff Phillips,Leeds/Ben-Ami Productions-Sheen Productions-TriStar Pictures,Action-Adventure-Comedy-Family
12435,1989,Lethal Weapon 2,114,7.2,Richard Donner,Jeffrey Boam-Shane Black-Warren Murphy,Warner Bros.-Silver Pictures,Action-Crime-Thriller
12436,1931,Le Million,81,7.5,René Clair,Georges Berr-René Clair-Marcel Guillemaud,Films Sonores Tobis,Musical-Comedy
12437,2004,Run,,,,,,
12438,2004,Gravion Zwei,,6.8,,,Gonzo Digimation,Animation
12439,2005,Strawberry Shortcake: Moonlight Mysteries,64,7.3,,,DIC Entertainment,Animation-Family
12440,1932,Horse Feathers,68,7.7,Norman Z. McLeod,Bert Kalmar-Harry Ruby-S.J. Perelman,Paramount Pictures,Comedy-Musical-Romance-Sport
12441,1980,The Martian Chronicles,360,6.6,Michael Anderson,Ray Bradbury-Richard Matheson,Charles Fries Productions-Stonehenge Productions-British Broadcasting Corporation-Polytel International Film,Drama-Mystery-Sci-Fi
12442,1971,McCabe & Mrs. Miller,120,7.7,Robert Altman,Edmund Naughton-Robert Altman-Brian McKay,David Foster Productions-Warner Bros.,Drama-Western
12443,1992,Inspector Morse 24: Absolute Conviction,,,,,,
12444,1998,Yes Boss,,,,,,
12445,2000,For Bad Boys Only,105,4.8,Wai Man Yip,Manfred Wong,Film Business International-Universe Films Ltd.,Action-Comedy-Drama-Romance
12446,1980,The Howling,,,,,,
12447,2001,The Land Before Time VIII: The Big Freeze,75,5.9,Charles Grosvenor,John Loy,Amblimation-Don Bluth-DreamWorks-Lucasfilm-Pacific Data Images-Universal Cartoon Studios-Universal Studios,Animation-Adventure-Family
12448,1998,The Girl of Your Dreams,121,7.0,Fernando Trueba,Rafael Azcona-Manuel Ángel Egea-Carlos López,Creativos Asociados de Radio y Televisión-Fernando Trueba Producciones Cinematográficas-Lolafilms,Comedy-Drama
12449,1966,Bad Girls Go to Hell/ Another Day Another Man,,,,,,
12450,2003,Children of Dune,266,7.6,Greg Yaitanes,John Harrison-Frank Herbert,Milk & Honey Pictures-Blixa Film Produktion GmbH & Co. KG-Hallmark Entertainment-New Amsterdam Entertainment-TTP Film Distributions II LLC,Adventure-Drama-Fantasy-Sci-Fi
12451,1941,Pot o' Gold,86,6.1,George Marshall,Walter DeLeon-Andrew Bennison-Monte Brice,James Roosevelt Productions,Comedy-Musical-Romance
12452,1998,I Got the Hook Up,93,4.0,Michael Martin,Master P-Leroy Douglas-Master P,Mastoff Films-No Limit Films-Priority Films-Shooting Star Pictures,Comedy
12453,2000,Love & Sex,82,6.2,Valerie Breiman,Valerie Breiman,Behaviour Worldwide-MDP Worldwide,Comedy-Romance-Drama
12454,2004,7 Days in September,,,,,,
12455,2000,Hollywood Screen Tests,,,,,,
12456,2000,The Golden Bowl,130,6.0,James Ivory,Henry James-Ruth Prawer Jhabvala,Merchant Ivory Productions-TF1 International,Drama-Romance
12457,2002,Bark,,,,,,
12458,1999,Splendor,93,5.9,Gregg Araki,Gregg Araki-Jill Cargerman,Desperate Pictures-Dragon Pictures-Newmarket Capital Group-Summit Entertainment,Comedy-Romance
12459,1996,Fled,98,5.3,Kevin Hooks,Preston A. Whitmore II,Metro-Goldwyn-Mayer,Action-Adventure-Crime-Drama-Romance
12460,1948,Portrait of Jennie,86,7.7,William Dieterle,Robert Nathan-Paul Osborn-Peter Berneis,The Selznick Studio-Vanguard Films,Drama-Romance-Fantasy-Mystery
12461,1997,Keb' Mo': Sessions at West 54th,78,8.3,,,American Program Service-Automatic Productions-Columbia Music Video,Documentary-Music
12462,1973,Jimi Hendrix,98,7.9,Joe Boyd-John Head-Gary Weis,,Warner Bros.,Documentary-Biography-Music
12463,1970,She Killed in Ecstasy,,,,,,
12464,2002,KISS: Live in Las Vegas,100,5.9,Ron de Moraes,Carlos Larkin,Passport International Entertainment,Music
12465,1999,Waterproof,,,,,,
12466,1971,Carnal Knowledge,98,7.0,Mike Nichols,Jules Feiffer,Embassy Pictures,Drama
12467,1999,Sing a Song With Pooh Bear and Piglet Too: Sing-Along Songs,,,,,,
12468,1977,You Light Up My Life,90,4.6,Joseph Brooks,Joseph Brooks,Columbia Pictures-Mondial International Corporation,Drama-Romance
12469,2000,Lumumba,115,7.2,Raoul Peck,Pascal Bonitzer-Dan Edelstein-Raoul Peck,"Arte France Cinéma-Arte-Canal+-Centre National de la Cinématographie-Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles-Cofimage 10-Entre Chien et Loup-Essential Filmproduktion GmbH-Eurimages-JBA Production-L'Agence de la Francophonie-La Fondation Gan pour le Cinéma-Liberator Productions-Ministère des Affaires étrangères et du Développement International-Radio Télévision Belge Francophone-SFP Cinema, La-Velvet Film-Velvet S.A.-Vlaamse Radio en Televisie-Zweites Deutsches Fernsehen",Biography-Drama-History-War
12470,1996,Twister,113,6.3,Jan de Bont,Michael Crichton-Anne-Marie Martin,Warner Bros.-Universal Pictures-Amblin Entertainment-Constant c Productions-Twister Productions,Adventure-Thriller
12471,2002,8 Mile,110,7.1,Curtis Hanson,Scott Silver,Imagine Entertainment-Mikona Productions GmbH & Co. KG,Drama-Music
12472,2004,Decoys,95,4.6,Matthew Hastings,Matthew Hastings-Tom Berry,Sci-Fi Productions-Sound Venture Productions-Feature Film Fund-The Movie Network (TMN)-Super Écran-Movie Central-Space: The Imagination Station-Quebec Film and Television Tax Credit-Canadian Film or Video Production Tax Credit-Ontario Film and Television Tax Credit-Corus-Téléfilm Canada,Comedy-Horror-Sci-Fi
12473,1999,October Sky,108,7.8,Joe Johnston,Homer H. Hickam Jr.-Lewis Colick,Universal Pictures,Biography-Drama-Family
12474,1998,Beauty and the Beast: Belle's Magical World,92,5.6,Bob Kline-Cullen Blaine-Dale Case,Richard Cray-Alice Brown-Carter Crocker,Disney Television Animation-Disneytoon Studios-Walt Disney Pictures,Animation-Comedy-Family-Fantasy-Musical-Romance
12475,2000,Octopus,100,3.3,John Eyres,Boaz Davidson-Michael D. Weiss,Millennium Films-Martien Holdings A.V.V.,Action-Adventure-Horror-Sci-Fi-Thriller
12476,2002,Blade 2,117,6.7,Guillermo del Toro,Marv Wolfman-Gene Colan-David S. Goyer,New Line Cinema-Amen Ra Films-Marvel Enterprises-Imaginary Forces-Justin Pictures-Linovo Productions GmbH & Co. KG-Milk & Honey Pictures-Pacific Title and Art Studio,Action-Horror-Sci-Fi-Thriller
12477,1996,Marley Magic,115,6.2,,,,Documentary-Music
12478,1980,Breaker Morant: Masterworks Edition,,,,,,
12479,2002,Marriage Is a Crazy Thing,103,7.1,Ha Yoo,Ha Yoo,CJ Entertainment-Sidus,Drama-Romance
12480,2004,The M.O. of the M.I.,,,,,,
12481,1995,Beyond the Clouds,110,6.5,Michelangelo Antonioni-Wim Wenders,Tonino Guerra-Michelangelo Antonioni-Wim Wenders,Sunshine-France 3 Cinéma-Ciné B-Cecchi Gori Group Tiger Cinematografica-Road Movies Zweite Produktionen-Canal+-Arbeitsgemeinschaft der öffentlich-rechtlichen Rundfunkanstalten der Bundesrepublik Deutschland (ARD)-Degeto Film-Centre National de la Cinématographie (CNC)-Eurimages-Club d'Investissement Média-European Script Fund-Procirep-Wim Wenders Stiftung,Drama-Romance
12482,1999,Scooby-Doo and the Witch's Ghost,70,7.3,Jim Stenstrum,Rick Copp-David A. Goodman,Hanna-Barbera Productions-Warner Bros. Animation,Animation-Comedy-Family-Fantasy-Mystery
12483,2000,It's Black Entertainment!,,,,,,
12484,2000,Killer Instinct,94,4.0,Anthony Hickox,Gareth Wardell-Kevin Bernhardt-Frederic Lindsay,Annex Entertainment-Franchise Pictures-Phoenician Entertainment-Ripped Productions Inc.,Drama-Thriller
12485,1999,The Last September,103,6.1,Deborah Warner,Elizabeth Bowen-John Banville,Matrix Films-Scala Thunder-Bórd Scannán na hÉireann-Raidió Teilifís Éireann-British Sky Broadcasting-British Screen Productions-IMA Productions-Canal+,Drama-History-Romance
12486,1998,Saturday Night Live: The Best of Phil Hartman,,7.8,Beth McCarthy-Miller-Paul Miller-Dave Wilson,Andy Breckman-E. Jean Carroll-Greg Daniels,National Broadcasting Company,Documentary-Comedy
12487,1991,Freddy's Dead: The Final Nightmare,89,4.9,Rachel Talalay,Wes Craven-Rachel Talalay-Michael De Luca,New Line Cinema-Nicolas Entertainment-Nicolas Entertainment,Fantasy-Horror
12488,1992,Inspector Morse 21: Dead on Time,,,,,,
12489,2004,Control,104,6.2,Tim Hunter,Todd Slavkin-Darren Swimmer,Arc Productions-Emmett/Furla/Oasis Films-Millennium Films-VIP 2 Medienfonds,Crime-Sci-Fi-Thriller
12490,1984,The Adventures of Buckaroo Banzai,103,6.4,W.D. Richter,Earl Mac Rauch,Sherwood Productions,Adventure-Comedy-Romance-Sci-Fi
12491,1964,Girl with Green Eyes,91,7.1,Desmond Davis,Edna O'Brien-Edna O'Brien,Woodfall Film Productions,Drama-Romance
12492,1976,Wonder Woman: Season 1,,,,,,
12493,2001,Spy Game,126,7.1,Tony Scott,Michael Frost Beckner-Michael Frost Beckner-David Arata,Universal Pictures-Beacon Communications-Beacon Pictures-Kalima Productions GmbH & Co. KG-Metropolitan Filmexport-Red Wagon Entertainment-Toho-Towa,Action-Crime-Thriller
12494,2001,Behind Enemy Lines,106,6.4,John Moore,Jim Thomas-John Thomas-David Veloz,Twentieth Century Fox-Davis Entertainment,Action-Drama-Thriller-War
12495,1990,The Boyfriend School,101,5.9,Malcolm Mowbray,Sarah Bird-Sarah Bird,Hemdale-Sovereign Pictures,Comedy-Romance
12496,2000,Whispers: An Elephant's Tale,72,5.2,Dereck Joubert,Dereck Joubert-Beverly Joubert-Dereck Joubert,Walt Disney Pictures,Family
12497,2000,Bring It On,98,6.0,Peyton Reed,Jessica Bendinger,Beacon Communications-Beacon Pictures-Wonderworks Films,Comedy-Romance-Sport
12498,1996,Goosebumps: Welcome to Dead House,,,,,,
12499,2001,Scenes of the Crime,91,5.8,Dominique Forma,Dominique Forma-Daniel Golka-Amit Mehta,Battleplan Productions-Cinecrime-Cinerenta Medienbeteiligungs KG-Destination Films,Thriller-Drama-Action
12500,1999,Boys Don't Cry,118,7.6,Kimberly Peirce,Kimberly Peirce-Andy Bienen,Fox Searchlight Pictures-The Independent Film Channel Productions-Killer Films-Hart Sharp Entertainment,Biography-Crime-Drama-Romance
12501,1984,The NeverEnding Story,102,7.4,Wolfgang Petersen,Wolfgang Petersen-Herman Weigel-Michael Ende,Constantin Film-Bavaria Studios-Westdeutscher Rundfunk (WDR)-Warner Bros.-Producers Sales Organization-Bavaria Film-Dieter Geissler Filmproduktion,Adventure-Drama-Family-Fantasy
12502,2000,Mikado: Gilbert & Sullivan: Stratford Festival,,,,,,
12503,2000,Urbania,103,7.0,Jon Shear,Daniel Reitz-Daniel Reitz-Jon Shear,Daly-Harris Productions,Drama
12504,1953,The Stooge,,,,,,
12505,1984,Care Bears: Kingdom of Caring,,,,,,
12506,1974,Godzilla vs. Mechagodzilla,84,6.4,Jun Fukuda,Jun Fukuda-Masami Fukushima-Shin'ichi Sekizawa,Toho Company-Toho Eizo Co.,Action-Fantasy-Horror-Sci-Fi
12507,1987,Hello Kitty Goes to the Movies,,,,,,
12508,1968,Chitty Chitty Bang Bang,144,6.9,Ken Hughes,Ian Fleming-Roald Dahl-Ken Hughes,Dramatic Features-Warfield,Adventure-Family-Fantasy-Musical
12509,1974,Swept Away,114,7.6,Lina Wertmüller,Lina Wertmüller,Medusa Distribuzione,Adventure-Comedy-Drama
12510,1999,Sesame Street: Babies,,,,,,
12511,1985,Mapp and Lucia: Series 1,,,,,,
12512,1989,True Believer,105,6.7,Joseph Ruben,Wesley Strick,Columbia Pictures,Drama-Crime
12513,1998,Star Trek: Insurrection,103,6.4,Jonathan Frakes,Gene Roddenberry-Rick Berman-Michael Piller,Paramount Pictures-Digital Image Associates,Action-Adventure-Sci-Fi-Thriller
12514,2002,Triggermen,96,6.0,John Bradshaw,Tony Johnston-Mark Thomas,First Look International-International West Pictures (IWP)-Now Entertainment Group-Trimuse Entertainment Inc.-Gemini Film Productions-Ballpark Productions Partnership-T-Men Productions,Crime-Comedy
12515,2000,Phish: Bittersweet Motel,82,8.1,Todd Phillips,,Aviva Entertainment-Bittersweet Films-Little Villa Features-Stranger Than Fiction,Documentary
12516,1983,Lovesick,95,5.0,Marshall Brickman,Marshall Brickman,The Ladd Company,Comedy-Fantasy-Romance
12517,2003,Gigli,121,2.4,Martin Brest,Martin Brest,Revolution Studios-City Light Films-Casey Silver Productions,Comedy-Crime-Romance
12518,1998,School of Flesh,110,6.8,Benoît Jacquot,Jacques Fieschi-Yukio Mishima,Orsans Productions-V.M. Productions-La Sept Cinéma-Les Films du Camélia-Artémis Productions-Radio Télévision Belge Francophone-Samsa Film-Canal+-Studio Image 4-Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles-Centre National de la Cinématographie (CNC)-Fonds National de Soutien à la Production Audiovisuelle du Luxembourg-Procirep-Eurimages,Drama-Mystery-Romance
12519,1988,The Ladies Sing the Blues,,,,,,
12520,1986,Just Between Friends,110,5.9,Allan Burns,Allan Burns,MTM Enterprises-Orion Pictures,Drama
12521,1979,My Brilliant Career,100,7.3,Gillian Armstrong,Eleanor Witcombe-Miles Franklin,Margaret Fink Productions-New South Wales Film Corporation-Greater Union Organisation (GUO),Biography-Drama-Romance
12522,1975,Rancho Deluxe,93,6.4,Frank Perry,Thomas McGuane,Elliott Kastner Productions,Comedy-Romance-Western
12523,2002,All or Nothing,128,7.6,Mike Leigh,Mike Leigh,Les Films Alain Sarde-Thin Man Films,Drama
12524,2004,Spider-Man: The Return of the Green Goblin,,,,,,
12525,2002,Tai Chi for Beginners,,,,,,
12526,2004,Word Wars,80,6.9,Eric Chaikin-Julian Petrillo,,E-Wolf-Seventh Art Releasing,Documentary-Comedy
12527,2003,Newlyweds: Nick & Jessica: Season 1,30,3.8,,Donson Clash-Carla Connor-Monica Plie,MTV Productions,Reality-TV-Romance
12528,2001,Final,111,5.9,Campbell Scott,Bruce McIntosh,InDigEnt-Independent Film Channel-Spare Room Productions,Sci-Fi-Drama-Thriller
12529,1998,Darkness Falls,,,,,,
12530,2004,Sex and the City: Season 6: Part 2,,,,,,
12531,1991,Eerie,30,8.2,,Jose Rivera-Karl Schaefer-Matt Dearborn,Cosgrove/Meurer Productions-Hearst Entertainment Productions-Unreality,Adventure-Comedy-Drama-Family-Fantasy-Horror-Mystery-Sci-Fi-Thriller
12532,2004,Sonic Youth: Corporate Ghost: The Videos 1990-2002,,,,,,
12533,1994,Country Life,118,6.8,Michael Blakemore,Michael Blakemore-Anton Chekhov,Australian Film Finance Corporation-Dalton Films,Drama-Romance
12534,2005,Steamboy,,7.1,Gilbert Perez,Katski Flores-Enrico C. Santos,Star Cinema,Romance
12535,2000,Maggie and the Ferocious Beast: Let's Go to the Beach!,,,,,,
12536,1981,Just Before Dawn,90,6.3,Jeff Lieberman,Mark Arywitz-Jeff Lieberman-Jonas Middleton,Oakland Productions,Horror-Thriller
12537,2003,Undermind,108,6.0,Nevil Dwek,Nevil Dwek,Vertical Pictures-double A Films,Crime-Drama-Fantasy-Thriller
12538,1985,The Black Cauldron,80,6.5,Ted Berman-Richard Rich,Lloyd Alexander-David Jonas-Vance Gerry,Walt Disney Pictures-Silver Screen Partners II,Animation-Action-Adventure-Family-Fantasy-Horror
12539,1986,The Fly / The Fly 2,,,,,,
12540,2000,100 Girls,94,5.9,Michael Davis,Michael Davis,Dream Entertainment-Michael/Finney Productions,Comedy-Romance
12541,1990,The Adventures of Ford Fairlane,104,6.3,Renny Harlin,Daniel Waters-James Cappe-David Arnott,Twentieth Century Fox-Silver Pictures,Action-Adventure-Comedy-Crime-Music-Mystery
12542,2001,Wasabi,94,6.7,Gérard Krawczyk,Luc Besson,EuropaCorp-Samitose Productions-TF1 Films Production-Canal+-Victor Company of Japan-Destiny,Action-Drama-Comedy-Crime-Thriller
12543,2000,Time Code,97,6.2,Mike Figgis,Mike Figgis,Screen Gems-Red Mullet Productions,Drama-Romance
12544,2004,Peter Gabriel: Play: The Video Collection,,,,,,
12545,1972,Sanford and Son: Season 1,,,,,,
12546,1990,Home Alone,103,7.5,Chris Columbus,John Hughes,Hughes Entertainment-Twentieth Century Fox,Comedy-Family
12547,2002,Gladiator Days: Anatomy of a Prison Murder,60,7.5,Marc Levin,,Blowback Productions,Documentary
12548,2003,Waisa Bhi Hota Hai,137,7.3,Shashanka Ghosh,Javed Ahmed-Shashanka Ghosh-Zunaid Memon,Impact Films,Comedy-Crime-Drama
12549,1999,Drop Dead Gorgeous,97,6.6,Michael Patrick Jann,Lona Williams,New Line Cinema-Capella International-KC Medien,Comedy-Romance-Thriller
12550,1997,Border,176,7.9,J.P. Dutta,J.P. Dutta-O.P. Dutta,J.P. Films,Action-Drama-History-War
12551,1999,Lush,,,,,,
12552,1992,Shadows and Fog,,,,,,
12553,2000,Legend of Loch Lomond: IMAX,,,,,,
12554,2004,G.I. Joe: Valor vs. Venom,77,5.8,Dale Carman,Judith Reeves-Stevens-Garfield Reeves-Stevens-Larry Hama,Hasbro-Paramount Pictures-Reel FX Creative Studios-Voice Box Productions,Animation-Action-Sci-Fi
12555,2001,Tony Hawk's Trick Tips: Vol. 2: Essentials of Street,,,,,,
12556,2002,Power and Terror: Noam Chomsky in Our Times,74,7.0,John Junkerman,,Siglo,Documentary
12557,2004,Wake of Death,91,5.8,Philippe Martinez,Mick Davis-Laurent Fellous-Kristina Hamilton-Grobler,Bauer Martinez Studios-UKFS-Frame Werk Produktion GmbH & Co. KG-The Tower Limited Liability Partnership-Lucky 7 Productions LLC-Blue Rider Pictures-LMCP Films-Royal Bank of Scotland-Sagewise,Action-Adventure-Drama
12558,1972,Lord Peter Wimsey: Clouds of Witness,,8.2,Hugh David,Dorothy L. Sayers-Anthony Steven,British Broadcasting Corporation,Drama
12559,1995,XTRO 3: Watch the Skies,90,3.5,Harry Bromley Davenport,Daryl Haney,,Horror-Sci-Fi
12560,1982,The Dark Crystal,93,7.2,Jim Henson-Frank Oz,David Odell-Jim Henson,Incorporated Television Company (ITC)-Jim Henson Productions-Henson Organisation,Adventure-Family-Fantasy
12561,1927,October,142,7.5,Grigoriy Aleksandrov-Sergei M. Eisenstein,Sergei M. Eisenstein-Grigoriy Aleksandrov-Boris Agapow,Sovkino,Drama-History
12562,1996,City Hall,111,6.2,Harold Becker,Ken Lipper-Paul Schrader-Nicholas Pileggi,Castle Rock Entertainment,Drama
12563,2003,R.E.M.: In View: The Best of R.E.M. 1988-2003,96,5.6,Lance Bangs-Peter Care-Jem Cohen,,A Band Apart-Anonymous Content-Black Dog Films-Blow Up Pictures-Hammer & Tongs-Open City Films-Passion Pictures-Portfolio-Satellite Films-Warner Bros. Records,Documentary-Music
12564,1992,Guns N' Roses: Use Your Illusion II,90,8.4,Paul Becher,,Japan Satellite Broadcasting-TDK Core-Uzi Suicide Co.,Documentary-Music
12565,2002,Super Sucker,93,4.6,Jeff Daniels,Jeff Daniels-Guy Sanville,Purple Rose Productions,Comedy
12566,1981,Funhouse,96,5.9,Tobe Hooper,Lawrence J. Block,Universal Pictures-Mace Neufeld Productions,Horror
12567,2005,The Office: Season 1,,,,,,
12568,1961,Hercules in the Haunted World,91,6.4,Mario Bava,Sandro Continenza-Mario Bava-Francesco Prosperi,SpA Cinematografica-Omnia Deutsche Film Export,Adventure-Fantasy-Horror
12569,1981,Victory,116,6.6,John Huston,Yabo Yablonsky-Djordje Milicevic-Jeff Maguire,Lorimar Film Entertainment-Victory Company-New Gold Entertainment,Drama-Sport-War
12570,1980,Superman II,127,6.8,Richard Lester-Richard Donner,Jerry Siegel-Joe Shuster-Mario Puzo,Dovemead Films-Film Export A.G.-International Film Production-Major Studio Partners,Action-Adventure-Sci-Fi
12571,1982,Gilbert and Sullivan: The Pirates of Penzance,,,,,,
12572,1993,Inspector Morse 11: Secret of  Bay 5B,,,,,,
12573,1999,Faces of Death / Fact or Fiction?,54,3.0,John Alan Schwartz,James B. Schwartz-John Alan Schwartz,F.O.D. Productions-Gorgon Video,Documentary-Horror
12574,1960,Nude on the Moon,,,,,,
12575,1989,Casino Raiders,127,6.9,Jimmy Heung-Jing Wong-Corey Yuen,Jimmy Heung-Jing Wong,Golden Harvest Company-Win's Film Productions,Action-Crime
12576,2001,Cirque du Soleil: La Magie Continue,,,,,,
12577,1962,Beany and Cecil,,,,,,
12578,1982,Fitzcarraldo,158,8.1,Werner Herzog,Werner Herzog,Werner Herzog Filmproduktion-Pro-ject Filmproduktion-Filmverlag der Autoren-Zweites Deutsches Fernsehen-Wildlife Films Peru,Adventure-Drama
12579,1974,Demoniacs,77,5.3,Jean Rollin,Jean Rollin,Général Films-Les Films ABC-Nordia Films,Horror
12580,1984,Revenge of the Nerds / Revenge of the Nerds 2: Double Feature,,,,,,
12581,1929,Iron Mask,95,7.5,Allan Dwan,Lotta Woods-Douglas Fairbanks-Alexandre Dumas,Elton Corporation,Adventure-Drama-History-Romance
12582,2003,Mystic River,138,8.0,Clint Eastwood,Brian Helgeland-Dennis Lehane,Warner Bros.-Village Roadshow Pictures-NPV Entertainment-Malpaso Productions,Crime-Drama-Mystery-Thriller
12583,1990,After Dark My Sweet,114,6.6,James Foley,Jim Thompson-Robert Redlin-James Foley,Avenue Pictures,Crime-Drama-Mystery-Thriller
12584,1985,Mischief,93,6.6,Mel Damski,Noel Black,Twentieth Century Fox,Comedy-Romance
12585,1937,Dead End,93,7.4,William Wyler,Lillian Hellman-Sidney Kingsley,The Samuel Goldwyn Company,Crime-Drama-Film-Noir
12586,1971,Upstairs,60,8.4,,Charlotte Bingham-Julian Bond-Raymond Bowers,London Weekend Television,Drama
12587,2001,Shackleton's Antarctic Adventure: IMAX,40,7.7,George Butler,Mose Richards-Crystal V. Spijer,Morgan Stanley Dean Witter-NOVA/WGBH Boston-White Mountain Films,Documentary-Short
12588,1992,Naked Killer,100,6.1,Clarence Yiu-leung Fok,Jing Wong,Wong Jing's Workshop Ltd.,Action-Crime-Romance-Thriller
12589,1995,Heat: Special Edition: Bonus Material,,,,,,
12590,1999,Phantom the Submarine,110,5.9,Byung-chun Min,Joon-ho Bong-Joon-Hwan Jang,,Action-Thriller
12591,1996,Beautiful Girls,112,7.2,Ted Demme,Scott Rosenberg,Miramax-Woods Entertainment,Comedy-Drama-Romance
12592,1936,Flash Gordon: Space Soldiers,245,7.3,Frederick Stephani-Ray Taylor,Alex Raymond-Frederick Stephani-Ella O'Neill,Universal Pictures Corporation,Action-Adventure-Sci-Fi
12593,1982,The Verdict,129,7.8,Sidney Lumet,Barry Reed-David Mamet-Jay Presson Allen,Twentieth Century Fox,Drama
12594,2003,X2: X-Men United: Bonus Material,,,,,,
12595,1987,Fortunes of War,407,8.0,James Cellan Jones,Olivia Manning-Alan Plater,British Broadcasting Corporation,Drama-War
12596,1975,Death Race 2000,80,6.2,Paul Bartel,Robert Thom-Charles B. Griffith-Ib Melchior,New World Pictures,Action-Comedy-Sci-Fi-Sport
12597,1944,Once Upon a Time,89,6.1,Alexander Hall,Lewis Meltzer-Oscar Saul-Irving Fineman,Columbia Pictures,Comedy-Fantasy
12598,1974,The Odessa File,130,7.0,Ronald Neame,Frederick Forsyth-Kenneth Ross-George Markstein,Columbia Pictures-John Woolf Productions-A Ronald Neame Film-Domino Productions-Oceanic Filmproduktion GmbH-Bavaria Film,Drama-Thriller
12599,1991,Inspector Morse 17: Fat Chance,,,,,,
12600,1973,American Graffiti: Collector's Edition,,,,,,
12601,2004,Justice League: The Brave and the Bold,,,,,,
12602,2004,Angels and Demons Revealed,,,,,,
12603,2000,Bounce: Behind the Velvet Rope,71,6.7,Steven Cantor,,Stick Figure Productions,Documentary
12604,2000,Hangman,,,,,,
