id,year,title,Runtime,Rating,Directors,Writers,Production companies,Genres
8481,1965,Samurai Assassin,122,7.6,Kihachi Okamoto,Shinobu Hashimoto-Jiromasa Gunji,Mifune Productions Co. Ltd.-Toho Company,Action-Adventure-Drama-History
8482,2004,Brian Wilson Presents Smile,,,,,,
8483,2002,Showtime,95,5.5,Tom Dey,Jorge Saralegui-Keith Sharon-Alfred Gough,Material-NPV Entertainment-Overbrook Entertainment-Tribeca Productions-Village Roadshow Pictures-Warner Bros.,Action-Comedy-Crime
8484,2004,Incubus: Alive at Red Rocks,147,8.5,Zane Vella,,MX Entertainment,Music
8485,1983,Death Ride to Osaka,96,5.0,Jonathan Kaplan,Carole Raschella-Michael Raschella-Tom Allard,Hill/Mandelker Films,Crime-Drama
8486,1994,The Wedding Gift,,,,,,
8487,2005,Fugitive Hunter,88,3.9,John Alexander Jimenez,John Alexander Jimenez-Wayne Wallace,Blue Bomber Entertainment,Action
8488,2004,Winnie the Pooh: ABC's,,6.0,Gary Katona-Ed Wexler,,Disney Television Animation,Animation-Short
8489,2004,The Brown Bunny,,,,,,Talk-Show
8490,1968,The Snow Maiden,,,,,,
8491,2000,The Doorway,91,3.8,Michael B. Druxman,Michael B. Druxman-Michael B. Druxman,Concorde Pictures,Horror-Thriller
8492,1999,Limbo,126,7.1,John Sayles,John Sayles,Green/Renzi,Adventure-Drama-Thriller
8493,1979,The Rose,125,7.0,Mark Rydell,Michael Cimino-Bo Goldman-Bill Kerby,Twentieth Century Fox,Drama-Music-Romance
8494,1960,Drive-In Discs Vol. 1,,,,,,
8495,2002,Snipes,91,5.2,Craig R. Baxley,Michael Frost Beckner-Crash Leyland-Ron Mita,Columbia Pictures-Sandstorm Films-Screen Gems-Sniper 2 Productions Ltd.,Action-War
8496,1983,Cheers: Season 2,,,,,,
8497,1971,Support Your Local Gunfighter,91,6.9,Burt Kennedy,James Edward Grant,Cherokee-Brigade Productions,Comedy-Romance-Western
8498,1995,The Doom Generation,83,6.0,Gregg Araki,Gregg Araki,Union Générale Cinématographique (UGC)-The Teen Angst Movie Company-Desperate Pictures-Blurco-Why Not Productions,Action-Comedy-Crime-Drama-Thriller
8499,2003,Pride and Prejudice,104,5.3,Andrew Black,Jane Austen-Anne K. Black-Katherine Brim,Bestboy Pictures-Camera 40 Productions,Comedy-Romance
8500,2002,Egypt's Golden Empire,,,,,,
8501,1964,Kashmir Ki Kali,168,7.1,Shakti Samanta,Ranjan Bose-Ranjan Bose-Ramesh Pant,Kamal Studios-Shakti Films-Sight 'N' Sound Studios-United Producers,Comedy-Musical-Romance
8502,1995,Nico Icon,70,7.3,Susanne Ofteringer,Susanne Ofteringer,Bluehorse Films-CIAK Filmproduktion-Zweites Deutsches Fernsehen,Documentary-Biography-Music
8503,1959,Human Condition II: The Road to Eternity,181,8.5,Masaki Kobayashi,Zenzô Matsuyama-Masaki Kobayashi-Jumpei Gomikawa,Shochiku,Drama-History-War
8504,1976,Gator,115,5.8,Burt Reynolds,William W. Norton-Roderick Taylor,Levy-Gardner-Laven,Action-Drama-Crime
8505,1969,The Bridge at Remagen,115,6.7,John Guillermin,Richard Yates-William Roberts-Roger O. Hirson,Wolper Pictures,Action-Drama-War
8506,2001,New York City Ballet Workout,,,,,,
8507,1983,Sudden Impact,117,6.6,Clint Eastwood,Harry Julian Fink-Rita M. Fink-Joseph Stinson,Warner Bros.-The Malpaso Company,Action-Crime-Thriller
8508,1965,The Battle of Algiers: Bonus Material 2,,,,,,
8509,1999,What Your Eyes Don't See,,,,,,
8510,2005,Double Dare,93,4.5,Neil Breen,Neil Breen,,Action-Adventure-Crime-Drama-Fantasy-Mystery-Romance-Sci-Fi-Thriller-Western
8511,1958,The Long,,,,,,
8512,1999,The World Is Not Enough,128,6.4,Michael Apted,Neal Purvis-Robert Wade-Neal Purvis,Danjaq-Eon Productions-Metro-Goldwyn-Mayer-United Artists,Action-Adventure-Thriller
8513,2004,American Crime,92,4.5,Dan Mintz,Jack Moore-Jeff Ritchie,Lightning Entertainment-Pacesetter Productions International-Fingerprint Films-Silent Road Productions,Crime-Thriller
8514,2001,Fourplay,87,5.0,Mike Binder,Mike Binder,Greentrees Films-Sunlight Productions,Comedy
8515,1986,Transformers: The Movie,84,7.3,Nelson Shin,Ron Friedman,Sunbow Productions-Marvel Productions-Hasbro,Animation-Action-Adventure-Family-Sci-Fi
8516,1992,Mountain Gorilla: IMAX,40,6.5,Adrian Warren,Steve Lucas,IMAX Natural History Film Unit-IMAX-National Geographic Society,Documentary-Short
8517,1999,Cirque du Soleil: Quidam,90,8.5,David Mallet,,Cirque du Soleil Images-Serpent Films Productions,Family-Fantasy-Music
8518,1997,Air Bud,98,5.2,Charles Martin Smith,Kevin DiCicco-Paul Tamasy-Aaron Mendelsohn,Walt Disney Pictures-Keystone Pictures,Comedy-Drama-Family-Sport
8519,2000,At Home with the Braithwaites: Series 1,,6.9,,Sally Wainwright-Katie Baxendale-Jonathan Harvey,Yorkshire Television,Drama-Comedy
8520,1987,Slave Girls From Beyond Infinity,80,4.5,Ken Dixon,Richard Connell-Ken Dixon,Beyond Infinity-Titan Productions,Action-Adventure-Comedy-Horror-Sci-Fi-Thriller
8521,2003,The Flower of Evil,104,6.5,Claude Chabrol,Caroline Eliacheff-Louise L. Lambrichs-Claude Chabrol,MK2 Productions-France 3 Cinéma-Canal+-Conseil Régional d'Aquitaine-Procirep,Drama
8522,1941,The Little Foxes,116,8.2,William Wyler,Lillian Hellman-Lillian Hellman-Arthur Kober,The Samuel Goldwyn Company,Drama-Romance
8523,2003,Lockdown,,,,,,
8524,2003,The Fog of War,107,8.2,Errol Morris,,Sony Pictures Classics-RadicalMedia-SenArt Films-The Globe Department Store,Documentary-Biography-History-War
8525,2004,Fat Albert,93,4.3,Joel Zwick,Bill Cosby-Charles Kipps,Twentieth Century Fox-Davis Entertainment-The Culver Studios,Comedy-Family-Fantasy-Romance
8526,1961,The Guns of Navarone,158,7.6,J. Lee Thompson,Alistair MacLean-Carl Foreman,Columbia Pictures-Highroad Productions,Action-Adventure-Drama-War
8527,2005,The Wiggles: Wiggly Wiggly World,,,,,,
8528,2003,American Aloha,,7.3,Lisette Marie Flanary-Evann Siebens,Lisette Marie Flanary-Evann Siebens,Bluestocking Films Inc.,Documentary
8529,2002,Showboy,93,5.5,Lindy Heymann-Christian Taylor,Christian Taylor-Lindy Heymann-Jason Buchtel,here! Films-Squeak Pictures-Fite Films-Faction Films-Farrington Productions,Comedy-Drama
8530,1991,Only the Lonely,104,6.4,Chris Columbus,Chris Columbus,Twentieth Century Fox-Hughes Entertainment,Comedy-Romance
8531,1986,Hoosiers,114,7.6,David Anspaugh,Angelo Pizzo,De Haven Productions-Hemdale,Drama-Sport
8532,1983,Armored Trooper Votoms Stage 4: God Planet Quent,,,,,,
8533,2000,The Lost Child,94,6.5,Karen Arthur,Yvette Melanson-Claire Safran-Sally Robinson,Hallmark Hall of Fame Productions,Drama
8534,2002,Snow Queen,180,6.8,David Wu,Simon Moore-Hans Christian Andersen,Hallmark Entertainment-Mat 1 Productions-Canadian Film or Video Production Tax Credit-Province of British Columbia Production Services Tax Credit-MAT 1 Movies & Television Produktion,Adventure-Family-Fantasy
8535,1990,The Simpsons: Season 2,,,,,,
8536,1979,The Great Santini,115,7.2,Lewis John Carlino,Pat Conroy-Lewis John Carlino-Herman Raucher,Bing Crosby Productions,Drama
8537,2003,Vlad,98,3.5,Michael D. Sellers,Michael D. Sellers,Quantum Entertainment-Basra Entertainment-Media Pro Pictures,Horror-Thriller
8538,2003,Chrono Crusade,,7.2,,Dan Dietz-Thomas M. Gonzales-Yûji Hosono,Fuji Television Network-Gonzo-Gospel-Kadokawa Shoten Publishing Co.-The Klockworx,Animation-Action-Adventure-Comedy-Drama-Fantasy-Horror-Thriller
8539,1919,The Cabinet of Dr. Caligari,,,,,,
8540,1975,Monty Python and the Holy Grail: Bonus Material,,,,,,
8541,1964,Father Goose,118,7.4,Ralph Nelson,Peter Stone-Frank Tarloff-S.H. Barnett,Granox Company,Adventure-Comedy-Romance-War
8542,1999,Whatever It Takes,,,,,,
8543,1993,Mr. Nanny,84,3.7,Michael Gottlieb,Edward Rugoff-Michael Gottlieb,New Line Cinema-Entertainment Film,Action-Comedy-Family
8544,2001,Crocodile Dundee in Los Angeles,92,4.8,Simon Wincer,Paul Hogan-Matt Berry-Eric Abrams,Bungalow Productions-Silver Lion Films-Vision View Entertainment,Adventure-Comedy-Crime
8545,2004,Metallica: Some Kind of Monster,141,7.5,Joe Berlinger-Bruce Sinofsky,,RadicalMedia-Third Eye Motion Picture Company,Documentary-Music
8546,1998,Algebra: Vol. 1: The Standard Deviants,,,,,,
8547,1940,The Thief of Bagdad,106,7.5,Ludwig Berger-Michael Powell-Tim Whelan,Miles Malleson-Lajos Biró-Miklós Rózsa,Alexander Korda Films-London Film Productions,Adventure-Family-Fantasy
8548,2004,Try to Remember,96,5.8,Jeff Beesley,Jeff Martel-John Benjamin Martin,2DF Enterprises-Global-Pax TV-Rigel Entertainment-Saskatchewan Employment Tax Credit Program-Time Code Pictures,Crime-Drama-Mystery-Thriller
8549,1995,Heavyweights,100,6.7,Steven Brill,Judd Apatow-Steven Brill,Caravan Pictures-Walt Disney Pictures,Comedy-Drama-Family-Sport
8550,1950,The George Burns & Gracie Allen Collection,,,,,,
8551,1985,The Canterville Ghost,56,6.7,William F. Claxton,B.W. Sandefur-Joseph Maurer-Bradley Wigor,,Family-Fantasy-Drama-Comedy
8552,1983,Bad Boys,123,7.2,Rick Rosenthal,Richard Di Lello,EMI Films-Solofilm,Crime-Drama-Thriller
8553,1999,Pokemon: Vol. 9: Fashion Victim,,,,,,
8554,1996,Yes: Keys to Ascension,137,7.8,Steven Mitchell,,Image Entertainment,Musical
8555,2005,The Crow: Wicked Prayer,99,3.1,Lance Mungia,Norman Partridge-James O'Barr-Lance Mungia,Dimension Films-Edward R. Pressman Film-Jeff Most Productions-Fubu Films,Action-Adventure-Comedy-Fantasy-Horror-Thriller
8556,1987,Sledge Hammer!: Season 2,,,,,,
8557,2003,VeggieTales: Bible Heroes: Lions,,,,,,
8558,1997,Dancehall Queen,98,7.0,Rick Elgood-Don Letts,Suzanne Fenn-Don Letts-Ed Wallace,Hawk's Nest Productions,Drama
8559,2002,Neil Young & Crazy Horse: Rust Never Sleeps,,,,,,
8560,1991,Perfect Harmony,93,7.6,Will Mackenzie,David Obst,Sea Breeze Productions Inc.-Walt Disney Television,Drama-Family-Music
8561,1941,Adventures of Captain Marvel,216,7.5,John English-William Witney,Ronald Davidson-Norman S. Hall-Arch Heath,Republic Pictures,Action-Adventure-Fantasy-Sci-Fi
8562,1977,Which Way is Up?,94,6.4,Michael Schultz,Lina Wertmüller-Carl Gottlieb-Cecil Brown,Universal Pictures,Comedy
8563,1990,Teenage Mutant Ninja Turtles: The Movie,93,6.8,Steve Barron,Kevin Eastman-Peter Laird-Bobby Herbeck,888 Productions-Golden Harvest Company-Limelight Entertainment-Mirage Productions-New Line Cinema-Northshore Investments Ltd.,Action-Adventure-Comedy-Family-Sci-Fi
8564,2005,Private Lives,,,,,,
8565,1991,Blood Ties,84,5.3,Jim McBride,Richard Alan Shapiro,Richard & Esther Shapiro Productions,Horror-Thriller
8566,2002,Merci Docteur Rey,91,6.6,Andrew Litvack,Andrew Litvack,Merchant Ivory Productions-Eat Your Soup Productions,Comedy
8567,2003,Gone But Not Forgotten,94,5.4,Michael D. Akers,Michael D. Akers,,Drama-Mystery-Romance
8568,2000,Ordinary Decent Criminal,93,6.4,Thaddeus O'Sullivan,Gerard Stembridge,Bórd Scannán na hÉireann-Filmstiftung Nordrhein-Westfalen-Icon Entertainment International-Little Bird-Miramax-Tatfilm-The Greenlight Fund-Trigger Street Productions,Comedy-Crime
8569,1994,Swimming with Sharks,93,7.1,George Huang,George Huang,Cineville-Keystone Studios-Mama'Z Boy Entertainment-NeoFight Film,Comedy-Crime
8570,1996,Suzanne Farrell: Elusive Muse,90,7.8,Anne Belle-Deborah Dickson,,,Documentary
8571,1997,The X-Files: Season 5,,,,,,
8572,1942,Mrs. Miniver,134,7.6,William Wyler,Arthur Wimperis-George Froeschel-James Hilton,Metro-Goldwyn-Mayer (MGM),Drama-Romance-War
8573,2004,Egypt Uncovered,,,,,,
8574,2002,The Fast Runner,,,,,,Talk-Show
8575,2000,...And Then Came Summer,82,4.6,Jeff London,Jeff London,10% Productions,Drama
8576,1999,Hollywood Musicals of the '40s,,,,,,
8577,1978,The Water Babies,92,6.2,Lionel Jeffries,Charles Kingsley-Michael Robson-Lionel Jeffries,Ariadne-Studio Miniatur Filmowych-Studio Miniatur Filmowych,Animation-Adventure-Family-Fantasy-Musical
8578,1986,Band of the Hand,109,6.3,Paul Michael Glaser,Leo Garen-Jack Baran,Delphi V Productions-Michael Mann Productions,Action-Crime-Drama
8579,1992,Dreaming About You,90,5.9,Marisa Sistach,José Buil-Alfonso Reyes,Clasa Films Mundiales-Producciones Tragaluz,Comedy-Romance
8580,1999,Futurama: Vol. 4,,,,,,
8581,1959,Ballad of a Soldier,88,8.1,Grigoriy Chukhray,Grigoriy Chukhray-Valentin Ezhov,Mosfilm,Drama-Romance-War
8582,2001,Big Shot's Funeral,103,6.8,Xiaogang Feng,Xiaogang Feng-Xiaoming Li-Kang Shi,China Film Group Corporation-Columbia Pictures Film Production Asia-Columbia Pictures-Huayi Brothers Advertising-Taihe Film Investment Co. Ltd.,Comedy-Drama
8583,1998,Everest: IMAX,157,4.5,Sangeeth Sivan,N. Maharajan-N. Maharajan-Sanjay Masoomm,Vicky Films Pvt. Ltd.,Action-Drama-Thriller
8584,2003,Shattered Glass,94,7.2,Billy Ray,Buzz Bissinger-Billy Ray,Lions Gate Films-Cruise/Wagner Productions-Baumgarten Merims Productions-Forest Park Pictures-Mel's Cite du Cinema,Drama-History
8585,1979,Mad Max,88,7.0,George Miller,James McCausland-George Miller-George Miller,Kennedy Miller Productions-Crossroads,Action-Adventure-Sci-Fi-Thriller
8586,1972,Jeremiah Johnson,108,7.6,Sydney Pollack,Vardis Fisher-Raymond W. Thorp-Robert Bunker,Sanford Productions-Warner Bros.,Adventure-Drama-Western
8587,2004,Devo Live,75,7.9,Joe Rees,,Target Video,Music
8588,1978,Satyam,172,7.2,Raj Kapoor,Jainendra Jain,R.K. Films Ltd.,Drama-Romance
8589,1997,She's So Lovely,100,5.9,Nick Cassavetes,John Cassavetes,Miramax-Clyde Is Hungry Productions-Sheen/Michaels Entertainment,Drama-Romance
8590,2004,Sniper 3,90,5.3,P.J. Pesce,Michael Frost Beckner-Crash Leyland-J.S. Cardone,Destination Films-Sandstorm Films,Action-Drama-Thriller-War
8591,1982,Fanny and Alexander (Theatrical Version),,,,,,
8592,2001,Revolution #9,90,6.9,Tim McCann,Tim McCann,Rockville Pictures Inc.-cineBLAST! Productions,Thriller
8593,2000,Mexico City,90,5.5,Richard Shepard,Richard Shepard-Richard Shepard-Jonathan Stern,Abandon Pictures-Curb Entertainment-Paddy Wagon Productions,Crime-Drama-Mystery-Thriller
8594,1999,The Artist: Rave UN2 the Year 2000,,,,,,
8595,1998,Billy's Hollywood Screen Kiss,92,7.0,Tommy O'Haver,Tommy O'Haver,Revolutionary Eye LLC,Comedy-Romance
8596,1995,Seven,127,8.6,David Fincher,Andrew Kevin Walker,Cecchi Gori Pictures-Juno Pix-New Line Cinema,Crime-Drama-Mystery-Thriller
8597,2003,Zero Day,,,,,,
8598,1992,Once Upon a Time in China 3,109,6.8,Hark Tsui,Tin-suen Chan-Tan Cheung-Hark Tsui,Golden Harvest Company-Film Workshop,Action-Adventure-Biography-History
8599,2004,Hilary Duff: Learning to Fly,31,8.4,,,Hollywood Records,Documentary-Short-Music-Reality-TV
8600,2001,Dragon Ball: Mystical Adventure,,,,,,
8601,1997,Rebirth of Mothra 1 & 2: Double Feature,,,,,,
8602,1972,Kung Fu: Season 1,,,,,,
8603,2002,The Emperor's Club,109,6.9,Michael Hoffman,Ethan Canin-Neil Tolkin,Beacon Communications-Fine Line Features-Horsepower Films-LivePlanet-Longfellow Pictures-Sidney Kimmel Entertainment,Drama
8604,1963,Les Carabiniers,75,7.0,Jean-Luc Godard,Beniamino Joppolo-Jean-Luc Godard-Jean Gruault,Cocinor-Les Films Marceau-Rome Paris Films-Laetitia Film,Comedy-Drama-War
8605,1958,The Old Man and the Sea,86,7.0,John Sturges-Fred Zinnemann,Ernest Hemingway-Peter Viertel,Leland Hayward Productions-Warner Bros.,Adventure-Drama
8606,1998,Beavers: IMAX,,,,,,
8607,2003,Shakira: Live and Off the Record,,,,,,
8608,1963,X: The Man With The X-Ray Eyes,79,6.7,Roger Corman,Robert Dillon-Ray Russell-Ray Russell,Alta Vista Productions,Horror-Sci-Fi-Thriller
8609,1982,Sweeney Todd: The Demon Barber of Fleet Street,140,8.4,Terry Hughes-Harold Prince,Hugh Wheeler-Christopher Bond,RKO Pictures-The Nederlander Organization,Musical-Drama-Thriller-Horror
8610,2005,Disney Princess Party: Vol. 2: The Ultimate Princess Pajama Jam!,,,,,,
8611,1999,Brown's Requiem,,,,,,
8612,2002,No Such Thing,,,,,,
8613,1959,Rio Bravo,141,8.0,Howard Hawks,Jules Furthman-Leigh Brackett-B.H. McCampbell,Warner Bros.-Armada Productions,Action-Drama-Western
8614,2002,Hometown Legend,120,5.7,James Anderson,Shawn Hoffman-Michael Patwin,Jenkins Entertainment-Miracle Films-Miracle Network Group LLC,Drama-Family-Sport
8615,1989,City War,,,,,,
8616,1996,Passion,,,,,,
8617,1989,Red Scorpion,,,,,,
8618,2001,Jay and Silent Bob Strike Back: Bonus Material,,,,,,
8619,1985,Pee-Wee's Big Adventure,91,7.0,Tim Burton,Phil Hartman-Paul Reubens-Michael Varhol,Warner Bros.-Aspen Film Society,Adventure-Comedy-Family
8620,1959,Surf Crazy,72,6.6,Bruce Brown,Bruce Brown,,Documentary
8621,1976,The Eagle Has Landed,135,6.9,John Sturges,Tom Mankiewicz-Jack Higgins,Associated General Films-ITC Entertainment,Adventure-Drama-Thriller-War
8622,1993,Inspector Morse 4: The  Wolvercote Tongue,,,,,,
8623,1985,Volunteers,107,5.5,Nicholas Meyer,Keith Critchlow-Ken Levine-David Isaacs,HBO Pictures-Silver Screen Partners-TriStar Pictures,Comedy
8624,1997,VeggieTales Classics: Josh and the Big Wall!,,,,,,
8625,2003,Totally Blonde,95,4.7,Charles Herman-Wurmfeld,Amanda Brown-Eve Ahlert-Dennis Drake,Metro-Goldwyn-Mayer-Marc Platt Productions-Type A Films,Comedy
8626,1955,Richard III,161,7.5,Laurence Olivier,William Shakespeare-Laurence Olivier-David Garrick,London Film Productions-L.O.P.,Biography-Drama-History-War
8627,1982,The Evil Dead,,,,,,
8628,1993,A Woman's Guide to Adultery,149,5.0,,Carol Clewlow-Frank Cottrell Boyce,Hartswood Films-Carlton Television,Drama
8629,2002,Till Human Voices Wake Us,101,6.4,Michael Petroni,Michael Petroni,Instinct Entertainment-Key Entertainment,Drama-Romance
8630,1985,Death Wish 3,92,5.9,Michael Winner,Don Jakoby-Brian Garfield,Cannon Films,Action-Crime-Drama-Thriller
8631,2002,Getting There: Sweet 16 and Licensed to Drive,90,4.7,Steve Purcell,Michael Swerdlick,Dualstar Entertainment Group-Dualstar Productions-Tapestry Films,Comedy-Family
8632,2000,Feng Shui,,,,,,
8633,1991,Sometimes They Come Back / Sometimes They Come Back Again,,,,,,
8634,1964,The Umbrellas of Cherbourg,91,7.9,Jacques Demy,Jacques Demy,Parc Film-Madeleine Films-Beta Film,Drama-Musical-Romance
8635,2004,Mr. 3000,104,5.5,Charles Stone III,Eric Champnella-Keith Mitchell-Eric Champnella,Touchstone Pictures-Dimension Films-The Kennedy/Marshall Company-Spyglass Entertainment,Comedy-Drama-Romance-Sport
8636,2003,Lara Croft: Tomb Raider: The Cradle of Life,117,5.5,Jan de Bont,Dean Georgaris-Steven E. de Souza-James V. Hart,Paramount Pictures-Mutual Film Company-British Broadcasting Corporation-Lawrence Gordon Productions-Eidos Interactive-Tele München Fernseh Produktionsgesellschaft-Toho-Towa-October Pictures,Action-Adventure-Fantasy
8637,2004,The Corporation,,,,,,
8638,2000,Jason and the Argonauts,180,6.0,Nick Willing,Matthew Faulk-Mark Skeet,Hallmark Entertainment-Panfilm,Adventure-Fantasy
8639,2005,Masters of the Casino: How to Conquer Online Poker,,,,,,
8640,2003,Little House on the Prairie: The Pilot,,,,,,Adventure-Game-Show-Reality-TV
8641,1998,Hard Rain,97,5.8,Mikael Salomon,Graham Yost,British Broadcasting Corporation (BBC) Television-Marubeni-Mutual Film Company-Paramount Pictures-Polygram Filmed Entertainment-Stargate Studios-Tele München Fernseh Produktionsgesellschaft (TMG)-Toho-Towa-UGC PH,Action-Crime-Drama-Thriller
8642,2004,Sting: Moment of Truth,89,5.4,George King,George King,,Documentary-Biography-Sport
8643,2004,Cube Zero,97,5.7,Ernie Barbarash,Ernie Barbarash,Mad Circus Films-Lions Gate Entertainment-Mr. X-Cube Forward Productions Corp.,Drama-Mystery-Sci-Fi-Thriller
8644,2002,Catch Me If You Can,141,8.1,Steven Spielberg,Jeff Nathanson-Frank Abagnale Jr.-Stan Redding,DreamWorks-Kemp Company-Splendid Pictures-Parkes+MacDonald Image Nation-Amblin Entertainment-Muse Entertainment Enterprises,Biography-Crime-Drama
8645,2001,Beethoven's 4th,93,4.2,David Mickey Evans,John Hughes-Amy Holden Jones-John Loy,Universal Family and Home Entertainment-Universal Pictures,Comedy-Family
8646,1994,Evolver,60,8.3,Jean Pellerin,,,Documentary
8647,2000,Bruce Springsteen: Complete Video Anthology 1978-2000,,,,,,
8648,1998,Cleopatra's Second Husband,92,4.5,Jon Reiss,Jon Reiss,Cucoloris Films-Flying Cow Productions,Drama
8649,1999,Dil Kya Kare,158,5.2,Prakash Jha,Vivek Apte-Prakash Jha-Mangesh Kulkarni,,Drama-Musical-Romance
8650,1986,My Little Pony: Season 1,,,,,,
8651,1999,Analyze This,103,6.7,Harold Ramis,Kenneth Lonergan-Peter Tolan-Peter Tolan,Village Roadshow Pictures-NPV Entertainment-Baltimore Pictures-Spring Creek Productions-Face Productions-Tribeca Productions,Comedy-Crime
8652,1980,The Changeling,107,7.3,Peter Medak,Russell Hunter-William Gray-Diana Maddox,Chessman Park Productions,Horror
8653,1963,The Girl Who Knew Too Much,86,7.1,Mario Bava,Ennio De Concini-Sergio Corbucci-Eliana De Sabata,Galatea Film-Coronet s.r.l.-American International Pictures (AIP),Comedy-Mystery-Romance-Thriller
8654,1984,Sherlock Holmes: The Hound of the Baskervilles,,,,,,
8655,1998,Blood,,,,,,
8656,1993,Godzilla vs. Mechagodzilla II,108,6.6,Takao Okawara,Wataru Mimura-Andrew Smith,Toho Company-Toho Eizo Co.,Action-Adventure-Drama-Sci-Fi
8657,2002,Bob Dylan: World Tour 1966: The Home Movies,,,,,,
8658,2002,Grand Illusions: The Story of Magic,,,,,,
8659,1934,Man of Aran,76,7.4,Robert J. Flaherty,Robert J. Flaherty,Gainsborough Pictures,Documentary
8660,1997,Classic Albums: Fleetwood Mac: Rumours,74,7.6,David Heffernan,,Daniel Television-British Broadcasting Corporation-Nederlandse Christelijke Radio-Vereniging-VH1 Television-Eagle Rock Entertainment-Isis Productions,Documentary-Music
8661,2004,Franklin: Favorite Turtle Tales,,,,,,
8662,1995,Titanica: IMAX,,,,,,
8663,2004,Trois 3: The Escort,95,5.0,Sylvain White,Gregory Ramon Anderson-Rob Hardy,Rainforest Films-Symmetry Entertainment,Drama-Thriller
8664,2001,The Blue Planet: Seas of Life: Ocean World - Frozen Seas,,,,,,
8665,2001,The Seventh Stream,100,6.9,John Gray,John Gray,Hallmark Hall of Fame Productions,Drama-Fantasy-Romance
8666,1940,The Great Dictator,125,8.5,Charles Chaplin,Charles Chaplin,Charles Chaplin Productions-One Production Company,Comedy-Drama-War
8667,1974,Planet of the Apes: The TV Series,,,,,,
8668,1992,Carolina Skeletons,,,,,,
8669,1996,Executive Decision,133,6.4,Stuart Baird,Jim Thomas-John Thomas,Warner Bros.-Silver Pictures,Action-Adventure-Thriller
8670,1999,Dragon Tales: Easy as 1-2-3,,,,,,
8671,2004,Chrystal,106,6.5,Ray McKinnon,Ray McKinnon,Chrystal Productions-Ginny Mule Pictures-Panache Pictures,Crime-Drama
8672,2001,Red Shadow,108,5.9,Hiroyuki Nakano,Mitsuteru Yokoyama,Dentsu-Kadokawa Shoten Publishing Co.-Toei Company-Toei Video Company-Tube Entertainment-h.m.p,Action-Adventure-Comedy
8673,2003,Open Range: Bonus Material,,,,,,
8674,1962,The French Chef with Julia Child,,,,,,
8675,1994,Eddie Izzard: Unrepeatable,75,8.1,John Gordillo,Eddie Izzard,Ella Communications Ltd.,Comedy
8676,1995,Saturday Night Live: The Best of Molly Shannon,,,,,,
8677,1960,The Apartment,125,8.3,Billy Wilder,Billy Wilder-I.A.L. Diamond,The Mirisch Corporation,Comedy-Drama-Romance
8678,1998,Charmed: Season 1,,,,,,
8679,1991,Necessary Roughness,108,6.1,Stan Dragoti,Rick Natkin-David Fuller,Paramount Pictures,Comedy-Sport
8680,2004,Miles Davis: Miles Electric: A Different Kind of Blue,87,8.0,Murray Lerner,,,Documentary
8681,1992,Rebels of the Neon God,106,7.6,Ming-liang Tsai,Ming-liang Tsai,Central Motion Pictures,Crime-Drama
8682,1965,Thunderball,130,7.0,Terence Young,Richard Maibaum-John Hopkins-Jack Whittingham,Eon Productions,Action-Adventure-Thriller
8683,1966,It's the Great Pumpkin,25,8.2,Bill Melendez,Charles M. Schulz-Charles M. Schulz,Lee Mendelson Film Productions-Bill Melendez Productions-United Feature Syndicate (UFS),Animation-Short-Comedy-Family
8684,1996,Unlikely Angel,95,6.8,Michael Switzer,Catherine Ann Jones-Liz Coe-Robert L. Freedman,Sandollar Productions-The Kushner-Locke Company,Comedy-Fantasy
8685,1956,Written on the Wind,99,7.5,Douglas Sirk,George Zuckerman-Robert Wilder,Universal International Pictures (UI),Drama
8686,1944,Return of the Vampire,,,,,,
8687,2002,Star Wars: Episode II: Attack of the Clones,142,6.6,George Lucas,George Lucas-Jonathan Hales-George Lucas,Lucasfilm,Action-Adventure-Fantasy-Sci-Fi
8688,1986,Manon of the Spring (Jean de Florette,113,8.0,Claude Berri,Claude Berri-Gérard Brach-Marcel Pagnol,DD Productions-Films A2-RAI Radiotelevisione Italiana-Renn Productions,Drama
8689,1981,Carbon Copy,92,5.6,Michael Schultz,Stanley Shapiro,First City-Hemdale-RKO Pictures,Comedy-Drama
8690,2003,Ashtanga,41,6.6,Caroline Laskow-Mary Wigmore,,Americas in Transition,Documentary-Short
8691,1998,Dawson's Creek: Season 1,,,,,,
8692,2004,Shania Twain: Up Close and Personal,,,,,,
8693,1999,Roughnecks: The Starship Troopers Chronicles: The Tesca Campaign,,7.5,,Robert A. Heinlein-Duane Capizzi-Jeff Kline,Adelaide Productions,Sci-Fi-Animation-Action-Adventure
8694,1981,Love Story,161,6.5,Rajendra Kumar-Rahul Rawail,,,Drama-Musical-Romance-Thriller
8695,2001,Mahoromatic: Automatic Maiden,,6.8,,Bow Ditama-Bunjuro Nakayama-Shôji Saeki,Gainax,Animation-Action-Comedy-Drama-Romance-Sci-Fi
8696,2001,The Attic Expeditions,100,5.1,Jeremy Kasten,Rogan Russell Marshall,Tse Tse Fly Productions,Comedy-Horror-Mystery-Thriller
8697,2002,King of Texas,95,6.4,Uli Edel,William Shakespeare-Stephen Harrigan,Milk & Honey Pictures-Flying Freehold Productions-Hallmark Entertainment-TNT,Drama-Western
