id,year,title,Runtime,Rating,Directors,Writers,Production companies,Genres,rated
2998,1986.0,Lucia Di Lammermoor: Donizetti: Australian Opera,,,,,,,
2999,2003.0,Bad Bizness,91.0,4.0,Jim Wynorski-Albert Pyun,Sean McGinly,Epsilon Motion Pictures,Crime-Thriller,
3000,1989.0,The January Man,97.0,5.6,Pat O'Connor,John Patrick Shanley,Metro-Goldwyn-Mayer-Star Partners II Ltd.,Action-Crime-Mystery-Thriller,
3001,2003.0,Last of the Mississippi Jukes,86.0,7.2,Robert Mugge,Robert Mugge,Mug-Shot Productions,Documentary,
3002,1981.0,Knightriders,146.0,6.4,George A. Romero,George A. Romero,Laurel-United Film,Action-Drama,
3003,1951.0,The Three Stooges: Merry Mavericks,,,,,,,
3004,2000.0,Escanaba in da Moonlight,,,,,,,
3005,1992.0,As Time Goes By: Series 1 and 2,,,,,,,
3006,2004.0,You Got Served: Take it to the Streets,53.0,5.8,Billy Pollina,Billy Pollina,,Music-Documentary,
3007,2000.0,Close Encounters: Proof of Alien Contact,50.0,6.0,Chris Wyatt,Chris Wyatt,Passport International Entertainment,Documentary,
3008,1988.0,Super Drumming: Vol. 1,,,,,,,
3009,1968.0,Hellfighters,121.0,6.6,Andrew V. McLaglen,Clair Huffaker,Universal Pictures,Action-Adventure-Drama-Romance-War,
3010,1998.0,Cadfael: The Potter's Field,75.0,8.2,Mary McMurray,Christopher Russell-Edith Pargeter,Carlton Productions-WGBH-Carlton UK Productions,Crime-Drama-Mystery,
3011,2001.0,Danny in the Sky,88.0,4.5,Denis Langlois,Bertrand Lachance-Denis Langlois,Les productions Castor & Pollux Inc.,Drama,
3012,2001.0,Dragon Ball Z: World Tournament,24.0,6.9,,Akira Toriyama,Fuji TV,Animation-Action-Adventure-Fantasy-Sci-Fi-Thriller,
3013,1973.0,Westworld,88.0,7.0,Michael Crichton,Michael Crichton,Metro-Goldwyn-Mayer (MGM),Action-Sci-Fi-Thriller-Western,
3014,1986.0,The Boys Next Door,,,,,,,
3015,2004.0,The Final Cut,95.0,6.2,Omar Naim,Omar Naim,Lions Gate Entertainment-Cinerenta Medienbeteiligungs KG-Industry Entertainment-Cinetheta-Final Cut Productions-Milestone Entertainment,Drama-Sci-Fi-Thriller,
3016,2003.0,Judas Priest: Electric Eye,168.0,8.7,Wayne Isham,,Columbia Home Video,Music,
3017,1985.0,Cocoon,117.0,6.7,Ron Howard,Tom Benedek-David Saperstein,Twentieth Century Fox-Zanuck/Brown Productions-SLM Production Group-St. Petersburg Clearwater Film Commission,Comedy-Drama-Sci-Fi,
3018,2004.0,WWE: Judgment Day 2004,180.0,6.2,Kevin Dunn,,World Wrestling Entertainment,Action-Sport,
3019,1990.0,Warren Miller's Journey,,,,,,,
3020,1965.0,Hogan's Heroes: Season 1,,,,,,,
3021,2003.0,House of the Dead,90.0,2.0,Uwe Boll,Mark A. Altman-Dan Bates-Dave Parker,Boll Kino Beteiligungs GmbH & Co. KG-Mindfire Entertainment-Brightlight Pictures-Herold Productions,Action-Adventure-Horror,
3022,1958.0,Wanted: Dead or Alive: Season 1,,,,,,,
3023,1973.0,Upstairs,,,,,,,
3024,2001.0,In Praise of Love,97.0,6.5,Jean-Luc Godard,Jean-Luc Godard,Avventura Films-Peripheria-Canal+-Arte France Cinéma-Vega Film-Télévision Suisse-Romande-ECM Records-StudioCanal-Deutsches Filminstitut-Studio Images 6-Les Films Alain Sarde,Drama,
3025,2000.0,Ah! My Goddess: The Movie,106.0,7.2,Hiroaki Gôda,Kôsuke Fujishima-Michiko Yokote-Yoshihiko Tomizawa,Kôdansha-Dentsu-Pony Canyon-Nippon Shuppan Hanbai (Nippan) K.K.-Sega Enterprises-Movic-Anime International Company-Shochiku,Animation-Comedy-Drama-Fantasy-Romance,
3026,1981.0,The Four Seasons,107.0,7.2,Alan Alda,Alan Alda,Universal Pictures,Comedy-Drama,
3027,1973.0,Ciao! Manhattan,,,,,,,
3028,2000.0,The Seven Wonders of the Ancient World,,7.6,Clive Maltby,,Atlantic Productions-Dune Films,Documentary-Drama,
3029,1998.0,T-Rex: Back to the Cretaceous: IMAX,45.0,4.7,Brett Leonard,Andrew Gellis-David Young-Andrew Gellis,IMAX,Adventure-Family-Fantasy,
3030,2001.0,The Mists of Avalon,183.0,7.0,Uli Edel,Gavin Scott-Marion Zimmer Bradley,Constantin Film-Stillking Films-TNT-Warner Bros.-Wolper Organization,Drama-Fantasy,
3031,1996.0,Pompatus of Love,,,Don DuPree,,Buena Vista Television,Talk-Show,
3032,1938.0,The Adventures of Robin Hood: Bonus Material,,,,,,,
3033,2005.0,Ghost in the Shell: Stand Alone Complex: 2nd Gig,,7.7,,Shirow Masamune,G-Artists-Production I.G.,Action-Crime-Mystery-Sci-Fi-Thriller,
3034,1970.0,The Partridge Family: Season 1,,,,,,,
3035,1989.0,Cousins,109.0,6.2,Joel Schumacher,Jean-Charles Tacchella-Stephen Metcalfe,Paramount Pictures-Paramount Pictures,Comedy-Romance,
3036,2003.0,Killing Words,89.0,7.1,Laura Mañá,Jordi Galceran-Laura Mañá-Fernando de Felipe,Filmax,Crime-Drama-Thriller,
3037,1999.0,National Geographic: Surviving Everest,,,,,,,
3038,1992.0,Royal Tramp,106.0,7.2,Jing Wong,Jing Wong-Louis Cha,Win's Film Productions,Action-Comedy,
3039,1967.0,Dark Shadows: Vol. 1,,,,,,,
3040,1968.0,Here's Lucy,30.0,7.1,,Milt Josefsberg-Ray Singer-Bob Carroll Jr.,Lucille Ball Productions-Paramount Television,Comedy,
3041,2000.0,Little Shots of Happiness,,,,,,,
3042,1994.0,A Million to Juan,97.0,5.5,Paul Rodriguez,Robert Grasmere-Francisca Matos-Paul Rodriguez,Crystal Sky Worldwide-Prism Entertainment Corporation-Trimark Pictures,Comedy,
3043,1995.0,Lord of Illusions,109.0,6.1,Clive Barker,Clive Barker-Clive Barker,Seraphim Films,Horror-Mystery-Thriller,
3044,2003.0,The Inheritance,115.0,7.3,Per Fly,Per Fly-Kim Leona-Mogens Rukov,Zentropa Entertainments-Spillefilmkompaniet 4 1/2-Memfis Film & Television-Zoma Films Ltd.-TV2 Danmark-Fjellape Film AS-Trollhättan Film AB-Invicta Capital-4 1/2 Film,Drama,
3045,1997.0,Mean Guns,104.0,5.7,Albert Pyun,Andrew Witham,Filmwerks,Action-Crime-Thriller,
3046,1990.0,The Simpsons: Treehouse of Horror,30.0,8.3,Wesley Archer-Rich Moore-David Silverman,Jay Kogen-Wallace Wolodarsky-John Swartzwelder,Gracie Films-20th Century Fox Television,Animation-Comedy,
3047,1989.0,The Fabulous Baker Boys,114.0,6.8,Steve Kloves,Steve Kloves,Gladden Entertainment-Mirage-Tobis,Comedy-Drama-Music-Romance,
3048,1990.0,Two Evil Eyes,120.0,6.1,Dario Argento-George A. Romero,Dario Argento-Franco Ferrini-Peter Koper,ADC Films-Gruppo Bema,Horror,
3049,1976.0,At the Earth's Core,89.0,5.2,Kevin Connor,Edgar Rice Burroughs-Milton Subotsky,Amicus Productions-American International Pictures-Burroughs Productions Inc.,Adventure-Fantasy-Sci-Fi,
3050,1997.0,Robin Hood Gang (aka Angels in the Attic),,,,,,,
3051,2000.0,Ultimate Attraction,,,,,,,
3052,1992.0,The Highwaymen: On the Road Again,,,,,,,
3053,2003.0,Godfathers Collection: True History of the Mafia,,,,,,,
3054,2003.0,I'm Not Scared,108.0,7.5,Gabriele Salvatores,Niccolò Ammaniti-Niccolò Ammaniti-Francesca Marciano,Colorado Film Production-Cattleya-Alquimia Cinema-The Producers Films-Medusa Film-Tele+-Ministero per i Beni e le Attività Culturali (MiBAC),Crime-Drama-Mystery-Thriller,
3055,2001.0,Nicholas Nickleby (TV Miniseries),,,,,,,
3056,1983.0,Android,,,,,,,
3057,2004.0,UFC 43: Ultimate Fighting Championship: Meltdown,,,,,,,
3058,1979.0,Escape from Alcatraz,112.0,7.6,Don Siegel,J. Campbell Bruce-Richard Tuggle,Paramount Pictures-The Malpaso Company,Biography-Crime-Drama-Thriller,
3059,1989.0,Black Rainbow,103.0,5.9,Mike Hodges,Mike Hodges,Goldcrest Films International,Horror-Thriller,
3060,2002.0,Midnight Street Racing,90.0,7.4,Beau Lambert,,,Documentary,
3061,1999.0,One Love: The Bob Marley All-Star Tribute,,8.3,Ron de Moraes,Terence Dackombe-Lewis Friedman,,Music,
3062,1971.0,On Any Sunday,96.0,7.8,Bruce Brown,,Solar Productions,Documentary-Sport,
3063,2004.0,Crimson Rivers 2: Angels of the Apocalypse,97.0,5.9,Olivier Dahan,Luc Besson-Jean-Christophe Grangé,Studio Légende-EuropaCorp-TF1 Films Production-Filmauro-Epica Ltd.-Canal+,Action-Crime-Horror-Mystery-Thriller,
3064,2003.0,Emmanuelle in Hong Kong,95.0,5.0,Dick Lau,,Matrix Productions,Drama,
3065,1977.0,For the Love of Benji,85.0,6.0,Joe Camp,Joe Camp-Joe Camp-Ben Vaughn,Mulberry Square Productions,Adventure-Comedy-Drama-Family,
3066,1948.0,Loves of Carmen,99.0,6.3,Charles Vidor,Helen Deutsch-Prosper Mérimée,The Beckworth Corporation,Adventure-Drama-Music-Romance,
3067,2004.0,Teen Titans: Season 2,,,,,,,
3068,1999.0,Harlock Saga,30.0,6.6,Nobuo Takeuchi,Megumi Hiyoshi-Leiji Matsumoto-Kevin McKeown,81 Produce-Avex Inc.-Bandai Visual Company-Studio Lighthouse-Studio March-Studio March-Studio March-Studio Z5-Studio Z5-Sung San Planning-Sung San Planning,Animation-Adventure-Drama-Sci-Fi,
3069,2005.0,Strawberry Shortcake: Dress Up Days,64.0,6.5,Marsha Goodman,Phil Harnage-Julia Lewald,DIC Entertainment,Animation,
3070,1936.0,Pennies from Heaven,81.0,6.6,Norman Z. McLeod,Katherine Leslie Moore-William Rankin-Jo Swerling,Emanuel Cohen Productions,Comedy-Drama-Music,
3071,1973.0,The Way We Were,118.0,7.1,Sydney Pollack,Arthur Laurents-Francis Ford Coppola-David Rayfiel,Columbia Pictures-Rastar Productions-Tom Ward Enterprises,Drama-Romance,
3072,1992.0,Aileen Wuornos: The Selling of a Serial Killer,87.0,7.0,Nick Broomfield,Nick Broomfield,Channel 4 Television Corporation-Lafayette Films,Documentary-Crime,
3073,1997.0,Ballykissangel: Series 2,,,,,,,
3074,2004.0,Ethics and the World Crisis: A Dialogue with the Dalai Lama,,,,,,,
3075,2002.0,The Roman Empire in the First Century,,,,,,,
3076,1998.0,Shadow of Doubt,103.0,5.2,Randal Kleiser,Myra Byanka-Raymond De Felitta,Largo Entertainment-Reasonable Doubt Productions,Mystery-Thriller,
3077,1997.0,Turbulence,100.0,4.8,Robert Butler,Jonathan Brett,Metro-Goldwyn-Mayer-Rysher Entertainment,Action-Thriller,
3078,1994.0,The Best of Friends: Season 2,,,,,,,
3079,1994.0,The Lion King: Special Edition,,,,,,,
3080,1966.0,Duel at Diablo,103.0,6.7,Ralph Nelson,Marvin H. Albert-Michael M. Grilikhes-Marvin H. Albert,Cherokee Productions-Rainbow Releasing,Western,
3081,1972.0,Sanford and Son: Season 4,,,,,,,
3082,1985.0,Murphy's Romance,107.0,7.0,Martin Ritt,Max Schott-Harriet Frank Jr.-Irving Ravetch,Columbia Pictures-Delphi IV Productions-Fogwood Films,Comedy-Drama-Romance,
3083,1978.0,Dirty Tiger,97.0,6.5,Karl Maka,Karl Maka-Eric Tsang,Gar Bo Films Company,Action-Comedy-Drama,
3084,1975.0,Rollerball,125.0,6.6,Norman Jewison,William Harrison-William Harrison,Algonquin,Action-Sci-Fi-Sport,
3085,2000.0,Little Nicky,90.0,5.3,Steven Brill,Tim Herlihy-Adam Sandler-Steven Brill,Avery Pix-Happy Madison Productions-New Line Cinema-RSC Media-Robert Simonds Productions,Comedy-Fantasy,
3086,1994.0,The Road to Wellville,118.0,5.8,Alan Parker,T. Coraghessan Boyle-Alan Parker,Beacon Communications-Beacon Pictures-Columbia Pictures-Dirty Hands Productions-Per-Fo Pictures,Comedy-Drama,
3087,1995.0,Kristin Lavransdatter,180.0,4.5,Liv Ullmann,Liv Ullmann-Sigrid Undset,Lavransdatter AB-Lefwander Kapitalförvaltning AB-Norsk Film-Norsk Rikskringkasting-Tele München Fernseh Produktionsgesellschaft,Drama,
3088,1985.0,Randy Newman: At the Odeon,,,,,,,
3089,1981.0,The BRD Trilogy: Lola,,,,,,,
3090,1985.0,Red Sonja,89.0,5.1,Richard Fleischer,Robert E. Howard-Clive Exton-George MacDonald Fraser,Dino De Laurentiis Company-Famous Films,Action-Adventure-Fantasy,
3091,2000.0,Live Nude Girls Unite!,75.0,6.5,Vicky Funari-Julia Query,Vicky Funari-Julia Query,Constant Communication-Farm Fresh Films-Lazy Eight-Nemesis Vigilante Productions-Query? Productions-pix + stones,Documentary,
3092,2004.0,The Hollow,83.0,4.6,Kyle Newman,Hans Rodionoff,Platform Entertainment-Seed Productions,Fantasy-Horror-Thriller,
3093,1968.0,Barbarella,98.0,5.9,Roger Vadim,Jean-Claude Forest-Terry Southern-Roger Vadim,Marianne Productions-Dino de Laurentiis Cinematografica,Adventure-Comedy-Fantasy-Sci-Fi,
3094,2001.0,According to Spencer,94.0,4.5,Shane Edelman,Marissa Ribisi-Meredith Morton-Shane Edelman,Cinerenta Medienbeteiligungs KG-Cinerock KG-Dream Entertainment-Garage Sale Productions Inc.-Michael/Finney Productions,Comedy-Drama-Romance,
3095,1984.0,Birdy,120.0,7.3,Alan Parker,William Wharton-Sandy Kroopf-Jack Behr,A&M Films-TriStar Pictures,Drama-War,
3096,2000.0,Midnight Tease 1 & 2,,,,,,,
3097,2001.0,Crash Course,88.0,6.4,Thomas Rickman,Thomas Rickman,Hearst Entertainment-Morgan Hill Films,Drama,
3098,1990.0,Three Men and a Little Lady,104.0,5.3,Emile Ardolino,Coline Serreau-Sara Parriott-Josann McGibbon,Touchstone Pictures-Interscope Communications-Silver Screen Partners IV,Comedy-Drama-Family-Romance,
3099,2005.0,Dears,,,,,,,
3100,1992.0,Beyond the Mind's Eye,50.0,7.7,Michael Boydstun,,Miramar Images Inc.,Animation-Comedy-Music,
3101,1997.0,Dangerous Ground,95.0,4.5,Darrell Roodt,Greg Latter-Darrell Roodt,New Line Cinema-Jacaranda Films-Investec Merchant Bank,Action-Crime-Drama-Thriller,
3102,1978.0,Damien: Omen II,107.0,6.3,Don Taylor-Mike Hodges,Harvey Bernhard-David Seltzer-Stanley Mann,Twentieth Century Fox-Harvey Bernhard Productions-Mace Neufeld Productions,Horror,
3103,1974.0,Candy Stripe Nurses,80.0,4.5,Alan Holleb,Alan Holleb,New World Pictures,Comedy-Thriller,
3104,2001.0,Guardian,60.0,7.4,,David Hollander-Rick Eid-Michael R. Perry,David Hollander Productions-Gran Via-CBS Productions-Sony Pictures Television-Columbia TriStar Television-Rosecrans Productions Inc.-Sony Pictures Entertainment,Drama-Crime,
3105,1975.0,Friday Foster,90.0,6.0,Arthur Marks,Orville H. Hampton-Arthur Marks-Jim Lawrence,American International Pictures,Action,
3106,1990.0,Ghost,127.0,7.0,Jerry Zucker,Bruce Joel Rubin,Paramount Pictures-Howard W. Koch Productions,Drama-Fantasy-Romance-Thriller,
3107,1999.0,Mulan,,,,,,,
3108,1995.0,Junkers Come Here,105.0,7.2,Jun'ichi Satô-Rob Bakewell,Hiroichi Fuse-Naoto Kine,Bandai Entertainment Inc.-Triangle Staff,Animation-Adventure-Family-Fantasy,
3109,1987.0,Nekromantik,75.0,5.1,Jörg Buttgereit,Jörg Buttgereit-Franz Rodenkirchen,Jelinski & Buttgereit,Horror,
3110,1998.0,Anima,,,,,,,
3111,2000.0,Nora,106.0,6.1,Pat Murphy,Brenda Maddox-Pat Murphy-Gerard Stembridge,GAM-Natural Nylon Entertainment-Road Movies Filmproduktion-Volta Films,Biography-Drama,
3112,2004.0,Liberty! The American Revolution,,,,,,,
3113,1997.0,Dante's Peak,108.0,5.9,Roger Donaldson,Leslie Bohem,Universal Pictures-Pacific Western,Action-Adventure-Thriller,
3114,1969.0,The Butcher,,,,,,,
3115,2001.0,Kabhi Khushi Kabhie Gham,210.0,7.5,Karan Johar,Karan Johar-Sheena Parikh,Dharma Productions,Drama-Musical-Romance,
3116,1987.0,Prick Up Your Ears,105.0,7.4,Stephen Frears,John Lahr-Alan Bennett,Zenith Entertainment-Civilhand-British Screen Productions-Film Four International,Biography-Drama,
3117,1989.0,Campion: Death of a Ghost,55.0,7.6,Michael Owen Morris,Margery Allingham-John Hawkesworth-Elaine Morgan,British Broadcasting Corporation-Consolidated-WGBH,Adventure-Crime-Drama-Mystery,
3118,2001.0,Inbred Rednecks,135.0,5.2,Joshua P. Warren,Joshua P. Warren,,Comedy,
3119,1997.0,Lewis and Clark: The Journey of the Corps of Discovery,240.0,8.6,Ken Burns,Ken Burns-Dayton Duncan-Dayton Duncan,American Lives Film Project-Florentine Films-WETA,Documentary-Adventure-Biography-History,
3120,1955.0,Rififi,118.0,8.2,Jules Dassin,Auguste Le Breton-Jules Dassin-René Wheeler,Pathé Consortium Cinéma-Indusfilms-Société Nouvelle Pathé Cinéma-Primafilm,Crime-Thriller,
3121,1943.0,Ossessione,140.0,7.8,Luchino Visconti,Luchino Visconti-Mario Alicata-Giuseppe De Santis,Industrie Cinematografiche Italiane,Crime-Drama-Romance,
3122,2000.0,The Powerpuff Girls: Down 'n' Dirty,,,,,,,
3123,2004.0,Art Heist,98.0,4.3,Bryan Goeres,Diane Fine-Evan Spiliotopoulos,Sony Pictures Television International-Drimtim Entertainment-Antena 3 Televisión-Televisió de Catalunya-Generalitat de Catalunya - Institut Català de les Indústries Culturals (ICIC),Action-Crime-Thriller,
3124,1953.0,Titanic,98.0,7.2,Jean Negulesco,Charles Brackett-Walter Reisch-Richard L. Breen,Twentieth Century Fox,Drama-History-Romance,
3125,2003.0,Chi-Hwa-Seon: Painted Fire,,,,,,,
3126,2000.0,The Sight,86.0,6.2,Paul W.S. Anderson,Paul W.S. Anderson,20th Century Fox Television-Impact Pictures-Sky Productions,Horror-Mystery-Thriller,
3127,1995.0,The Mangler,106.0,4.1,Tobe Hooper,Tobe Hooper-Stephen David Brooks-Harry Alan Towers,Distant Horizon-Filmex-Allied Film Productions (II),Horror-Mystery,
3128,1984.0,Starman,115.0,7.0,John Carpenter,Bruce A. Evans-Raynold Gideon-Dean Riesner,Columbia Pictures-Industrial Light & Magic (ILM)-Delphi II Productions,Romance-Sci-Fi,
3129,1974.0,For Pete's Sake,90.0,6.6,Peter Yates,Stanley Shapiro-Maurice Richlin,Barclay-Rastar Pictures,Comedy,
3130,2004.0,Cedric the Entertainer Presents,,,,,,,
3131,1981.0,Kaalia,157.0,6.9,Tinnu Anand,Inder Raj Anand-Tinnu Anand-Tinnu Anand,Bobby Enterprises,Action-Drama,
3132,1998.0,Rasen,97.0,5.3,Jôji Iida,Jôji Iida-Kôji Suzuki,Basara Pictures-Imagica,Drama-Fantasy-Horror-Mystery-Thriller,
3133,1999.0,Esther: The Bible,90.0,6.6,Raffaele Mertes,Sandy Niemand,Lube-Lux Vide-Beta Film-France 2 (FR2)-Antena 3-Arbeitsgemeinschaft der öffentlich-rechtlichen Rundfunkanstalten der Bundesrepublik Deutschland (ARD)-MTM Enterprises-Ceská Televize-Quinta Communications-Nederlandse Christelijke Radio-Vereniging (NCRV)-British Sky Broadcasting (BSkyB)-Rai 1,Biography-Drama-History-Romance,
3134,1999.0,Beautiful People,107.0,6.7,Jasmin Dizdar,Jasmin Dizdar,Arts Council of England-British Film Institute-British Screen Productions-British Sky Broadcasting-Channel Four Films-Merseyside Film Production Fund-Tall Stories,Comedy-Drama-War,
3135,1991.0,Frankie and Johnny,118.0,6.7,Garry Marshall,Terrence McNally-Terrence McNally,Paramount Pictures,Comedy-Drama-Romance,
3136,1970.0,Vampyros Lesbos,,,,,,,
3137,1915.0,Les Vampires,421.0,6.9,Louis Feuillade,Louis Feuillade,Société des Etablissements L. Gaumont,Action-Adventure-Crime-Drama-Mystery-Thriller,
3138,2004.0,Blade: Trinity,113.0,5.9,David S. Goyer,David S. Goyer-Marv Wolfman-Gene Colan,New Line Cinema-Shawn Danielle Productions Ltd.-Amen Ra Films-Marvel Enterprises-Peter Frankfurt Productions-Imaginary Forces,Action-Horror-Sci-Fi-Thriller,
3139,1962.0,Zatoichi,96.0,7.7,Kenji Misumi,Minoru Inuzuka-Kan Shimozawa,Daiei Motion Picture Company,Action-Adventure-Drama,
3140,1980.0,Fist of Fear,90.0,2.1,Matthew Mallinson,Ron Harvey-Ron Harvey-Matthew Mallinson,Aquarius Promotions,Documentary-Sport,
3141,1997.0,Curtain Call,,,,,,,
3142,2005.0,Ma Mere,,,,,,,
3143,2004.0,King Solomon's Mines,173.0,6.0,Steve Boyum,Adam Armus-Steven H. Berman-Nora Kay Foster,Enigma Pictures-Hallmark Entertainment-Larry Levinson Productions-RTL,Action-Adventure-Fantasy-Romance,
3144,1957.0,A Matter of Dignity,,,,,,,
3145,1993.0,Lost in Yonkers,114.0,6.7,Martha Coolidge,Neil Simon-Neil Simon,Columbia Pictures-Rastar Pictures,Comedy-Drama,
3146,2000.0,Sade,100.0,6.2,Benoît Jacquot,Serge Bramly-Jacques Fieschi-Bernard Minoret,Alicéléo-Canal+-Cofimage 11-RIDICULOUS Pictures-TF1 Films Production,Biography-Crime-Drama-History,
3147,1964.0,The Twilight Zone: Vol. 25,,,,,,,
3148,1996.0,The English Patient,162.0,7.4,Anthony Minghella,Michael Ondaatje-Anthony Minghella,Miramax-Tiger Moth Productions,Drama-Romance-War,
3149,2003.0,Pompeii: The Last Day,120.0,7.2,Peter Nicholson,Edward Canfor-Dumas-Peter Nicholson,BBC / TLC / NDR-British Broadcasting Corporation-France 2 (FR2)-Televisión Española,Drama-History,
3150,2000.0,Monty Python: The Life of Python,,,,,,,
3151,2004.0,Napoleon Dynamite,96.0,6.9,Jared Hess,Jared Hess-Jerusha Hess,Fox Searchlight Pictures-Paramount Pictures-MTV Films-Access Films-Napolean Pictures,Comedy,
3152,2003.0,The Skulls III,,,,,,,
3153,1965.0,Doctor Zhivago,197.0,8.0,David Lean,Boris Pasternak-Robert Bolt,Metro-Goldwyn-Mayer (MGM)-Carlo Ponti Production-Sostar S.A.,Drama-Romance-War,
3154,2002.0,Robert Thurman on Tibet,,,,,,,
3155,1965.0,Thunderbirds,50.0,7.9,,Gerry Anderson-Sylvia Anderson-Alan Fennell,AP Films-Associated Television,Animation-Action-Adventure-Drama-Family-Sci-Fi,
3156,1970.0,Julius Caesar,117.0,6.1,Stuart Burge,Robert Furnival-William Shakespeare,Commonwealth United Entertainment,Drama-History-War,
3157,1964.0,I Am Cuba,108.0,8.0,Mikhail Kalatozov,Enrique Pineda Barnet-Evgeniy Evtushenko,Instituto Cubano del Arte e Industrias Cinematográficos-Mosfilm,Drama-History-War,
3158,1934.0,John Wayne: Man from Utah/Sagebrush Trail/Riders of Destiny/Star Packer,,,,,,,
3159,1983.0,The Hunger,97.0,6.7,Tony Scott,Ivan Davis-Michael Thomas-Whitley Strieber,Metro-Goldwyn-Mayer-Peerford Ltd.,Drama-Horror,
3160,2000.0,The Man Who Cried,100.0,6.2,Sally Potter,Sally Potter,Canal+-Universal Pictures-Adventure Pictures-Working Title Films,Drama-Music-Romance-War,
3161,2001.0,Scary Movie 2,83.0,5.3,Keenen Ivory Wayans,Shawn Wayans-Marlon Wayans-Buddy Johnson,Dimension Films-Wayans Bros. Entertainment-Gold/Miller Productions-Brad Grey Pictures,Comedy,
3162,2004.0,Hardcore,96.0,6.2,Dennis Iliadis,Dennis Iliadis-Aleka Laskou,Ideefixe Productions-Odeon-FilmNet-Greek Film Center-Zaza Entertainment,Drama-Crime,
3163,1980.0,Yes,60.0,8.6,,Antony Jay-Jonathan Lynn,British Broadcasting Corporation,Comedy,
3164,1937.0,Stella Dallas,106.0,7.5,King Vidor,Sarah Y. Mason-Victor Heerman-Olive Higgins Prouty,The Samuel Goldwyn Company,Drama-Romance,
3165,1988.0,Dirty Rotten Scoundrels,110.0,7.3,Frank Oz,Dale Launer-Stanley Shapiro-Paul Henning,Orion Pictures,Comedy-Crime,
3166,1945.0,Charlie Chan: The Shanghai Cobra,64.0,7.1,Phil Karlson,George Callahan-George Wallace Sayre-George Callahan,Monogram Pictures,Comedy-Crime-Drama-Mystery-Thriller,
3167,2004.0,Joe Pass: An Evening With,,,,,,,
3168,1987.0,Evil Dead 2: Dead by Dawn,84.0,7.8,Sam Raimi,Sam Raimi-Scott Spiegel,De Laurentiis Entertainment Group-Renaissance Pictures,Comedy-Horror,
3169,1994.0,DNA2,,,,,,,
3170,2002.0,Together,116.0,7.4,Kaige Chen,Kaige Chen-Xiaolu Xue,21 Century Shengkai Film-21st Century Hero Film Investments-Big Bang Creative-China Film Group Corporation-China Movie Channel-Chinarunn Entertainment Inc.,Drama-Music,
3171,2001.0,Formula One 2000,,7.3,,,SCEE Studio Liverpool,Family-Sport,
3172,1982.0,SCTV Network 90: Vol. 2,,,,,,,
3173,1978.0,Pennies From Heaven,75.0,8.5,Piers Haggard,Dennis Potter,British Broadcasting Corporation,Drama-Musical,
3174,2002.0,Stealing Harvard,85.0,5.1,Bruce McCulloch,Martin Hynes-Peter Tolan-Peter Tolan,Revolution Studios-Imagine Entertainment,Comedy-Crime,
3175,2000.0,ECW: Path of Destruction,,,,,,,
3176,1986.0,The Decline of the American Empire,101.0,7.3,Denys Arcand,Denys Arcand-Gabriel Arcand-Mark Blandford,Corporation Image M & M-Malofilm-National Film Board of Canada-Société Générale du Cinéma du Québec-Société Radio-Canada-Téléfilm Canada,Comedy-Drama,
3177,1992.0,Sister Wendy: The Complete Collection,,,,,,,
3178,2003.0,Pokemon Master Quest: Collector's Box: Quest 2,,,,,,,
3179,1993.0,Bloodfist 5: Human Target,,,,,,,
3180,2005.0,Thin Man Collection: Alias Nick and Nora,,,,,,,
3181,2000.0,Batman Beyond: Return of the Joker,76.0,7.8,Curt Geda,Bob Kane-Paul Dini-Glen Murakami,DC Comics-Warner Bros. Animation,Animation-Action-Crime-Sci-Fi-Thriller,
3182,1997.0,Private Parts,109.0,6.8,Betty Thomas,Howard Stern-Len Blum-Michael Kalesniko,Paramount Pictures-Rysher Entertainment-Northern Lights Entertainment,Biography-Comedy-Drama,
3183,1998.0,King of the Hill: Season 3,,,,,,,
3184,1985.0,Desert Hearts,91.0,7.0,Donna Deitch,Jane Rule-Natalie Cooper,Desert Hearts Productions-The Samuel Goldwyn Company,Drama-Romance,
3185,2001.0,Teenage Caveman,,,,,,,
3186,1996.0,Sprung,90.0,,Hanno Brühl,Dieter Bongartz,,Drama,
3187,1984.0,Grand Canyon: Hidden Secrets: IMAX,35.0,6.8,Kieth Merrill,Kieth Merrill,Cinema Group Ventures-Investmore Ltd.-World Cinemax,Documentary-Short,
3188,1973.0,The Crazies,103.0,6.1,George A. Romero,Paul McCollough-George A. Romero,Pittsburgh Films,Action-Horror-Sci-Fi,
3189,1998.0,The Treat,94.0,4.1,Jonathan Gems,Jonathan Gems,,Comedy-Romance,
3190,1993.0,Heaven & Earth,140.0,6.8,Oliver Stone,Le Ly Hayslip-Jay Wurts-Le Ly Hayslip,Alcor Films-Canal+-Ixtlan-New Regency Pictures-Regency Enterprises-TAE-Todd-AO Studios-Warner Bros.,Action-Biography-Drama-History-War,
3191,2000.0,Tha EastSidaz,81.0,3.8,Michael Martin,Michael Martin-Snoop Dogg,,Action-Crime,
3192,1991.0,Double Impact,110.0,5.6,Sheldon Lettich,Sheldon Lettich-Jean-Claude Van Damme-Steve Meerson,Stone Group Pictures-Vision International,Action-Crime,
3193,2000.0,Peach/ A Bitter Song/ Lavendar Limelight,,,,,,,
3194,2003.0,AcceleRacers,,,,,,,
